Function,Times,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F13,Times9,183.1854299737901,237.2056052317719,212.6783540525956,191.3463872150996,223.3485025993745,2.487919890330212e-05,4.785507337119121e-05,4.87104523787645e-05,187.3124533370479,153.9017383697838
F13,Times10,200.5984421963765,189.0989906742462,210.5740506154113,193.8396087142929,212.1323158218356,4.890778415403254e-05,3.308053671629261e-05,4.972351919158114e-05,188.0189891612041,203.3909145708138
F14,Times1,2.982105156816675,0.9998055370689966,1.000031598752473,1.000030350067925,2.982105156816676,5.928845125400149,0.9980386224034697,1.992030900220718,13.61860892386102,5.928845125400147
F14,Times2,10.76318066677915,5.928845125400149,22.90063408158465,0.9997854840072613,1.992030900220719,7.873992977132183,12.67050581113556,1.992030900220717,0.9997561922750798,6.903335694220138
F14,Times3,8.840835962754232,3.968250105568166,3.968250105568159,1.992030900220729,1.992030900220718,10.76318066677916,0.9997730119138457,6.903335694220144,15.50381680261233,6.903335694220137
F14,Times4,10.76318066677915,0.9993121378247334,0.9998153524377023,1.992030900220719,1.992030900220725,9.803897942835274,1.992030900220716,0.9986294185986577,19.23067813041172,1.992030900220716
F14,Times5,9.803897942835265,10.76318066677916,4.950491231786253,0.9991056026116947,0.9984277159741053,8.840835962754234,7.873992977132182,5.928845125400151,0.9995373945841715,5.928845125400148
F14,Times6,1.992030900220716,5.92884512540015,0.999915996772313,2.982105156816678,1.000024790507915,1.992030900220718,1.992030900220723,1.992030900220721,16.44090731417178,5.928845125400146
F14,Times7,0.9992972422549822,4.9504912317863,6.903335694220137,2.982105156816675,12.67050581113556,11.71869956206306,1.992030900220718,7.873992977132183,23.8094344712963,4.950491231786253
F14,Times8,6.903335694220138,1.992030900220719,2.982105156816675,3.968250105568166,10.76318066677916,8.840835962754237,21.07268750831577,6.903335694220142,1.992030900220716,17.37440650048896
F14,Times9,13.61860892386102,5.928845125400161,1.992030900220716,6.903335694220149,0.9992053726433887,5.928845125400157,12.67050581113556,0.9991425398843692,15.50381680261233,2.982105156816674
F14,Times10,10.76318066677915,5.928845125400155,2.982105156816674,2.982105156816678,5.928845125400152,0.9980183447298836,1.992030900220718,1.992030900220717,1.992030900220717,4.950491231786253
F15,Times1,0.000345369293031892,0.0003499900538572962,0.0003443094712539513,0.0003473473694555762,0.0003458130801371699,0.0003908111490403268,0.0004576271938002805,0.001263467878211217,0.0003486314788152832,0.0003473744608749807
F15,Times2,0.0003450094922247992,0.02036333935108622,0.0003486271064815087,0.0003487611068535177,0.0003492240001458232,0.0007361533735590058,0.0006796840060913161,0.0005956432925246542,0.02036333934918691,0.0003473959844309663
